t,acc
8.1 , -0.75
8.11 , -0.77
8.120000000000001 , -0.81
8.13 , -0.84
8.14 , -0.85
8.15 , -0.81
8.16 , -0.75
8.17 , -0.66
8.18 , -0.56
8.19 , -0.49
8.2 , -0.42
8.21 , -0.4
8.22 , -0.35
8.23 , -0.28
8.24 , -0.17
8.25 , -0.017
8.26 , 0.14
8.27 , 0.29
8.28 , 0.39
8.290000000000001 , 0.39
8.3 , 0.28
8.31 , 0.021
8.32 , -0.34
8.33 , -0.73
8.34 , -1.1
8.35 , -1.2
8.36 , -1.2
8.370000000000001 , -1.0
8.38 , -0.77
8.39 , -0.5
8.4 , -0.3
8.41 , -0.15
8.42 , -0.067
8.43 , -0.046
8.44 , -0.035
8.45 , -0.05
8.46 , -0.021
8.47 , 0.0042
8.48 , 0.053
8.49 , 0.094
8.5 , 0.18
8.51 , 0.28
8.52 , 0.45
8.53 , 0.66
8.540000000000001 , 0.92
8.55 , 1.2
8.56 , 1.5
8.57 , 1.7
8.58 , 1.7
8.59 , 1.7
8.6 , 1.5
8.61 , 1.3
8.620000000000001 , 1.1
8.63 , 0.92
8.64 , 0.78
8.65 , 0.69
8.66 , 0.62
8.67 , 0.5
8.68 , 0.33
8.69 , 0.056
8.700000000000001 , -0.28
8.71 , -0.61
8.72 , -0.85
8.73 , -0.92
8.74 , -0.89
8.75 , -0.79
8.76 , -0.77
8.77 , -0.85
8.78 , -1.0
8.790000000000001 , -1.2
8.8 , -1.4
8.81 , -1.5
8.82 , -1.5
8.83 , -1.5
8.84 , -1.5
8.85 , -1.5
8.86 , -1.4
8.870000000000001 , -1.2
8.88 , -0.98
8.89 , -0.81
8.9 , -0.69
8.91 , -0.63
8.92 , -0.53
8.93 , -0.32
8.94 , -0.017
8.950000000000001 , 0.3
8.96 , 0.45
8.97 , 0.34
8.98 , -0.023
8.99 , -0.5
9.0 , -0.89
9.01 , -1.1
9.02 , -1.1
9.03 , -0.9
9.040000000000001 , -0.65
9.05 , -0.41
9.06 , -0.2
9.07 , 0.028
9.08 , 0.26
9.09 , 0.44
9.1 , 0.51
9.11 , 0.45
9.120000000000001 , 0.34
9.13 , 0.21
9.14 , 0.21
9.15 , 0.32
9.16 , 0.54
9.17 , 0.76
9.18 , 0.93
9.19 , 0.98
9.200000000000001 , 0.98
9.21 , 0.94
9.22 , 0.89
9.23 , 0.8
9.24 , 0.59
9.25 , 0.26
9.26 , -0.18
9.27 , -0.67
9.28 , -1.1
9.290000000000001 , -1.3
9.3 , -1.4
9.31 , -1.3
9.32 , -1.1
9.33 , -0.91
9.34 , -0.62
9.35 , -0.32
9.36 , -0.009
9.370000000000001 , 0.29
9.38 , 0.55
9.39 , 0.73
9.4 , 0.84
9.41 , 0.89
9.42 , 0.87
9.43 , 0.77
9.44 , 0.55
9.450000000000001 , 0.24
9.46 , -0.081
9.47 , -0.27
9.48 , -0.24
9.49 , 0.022
9.5 , 0.37
9.51 , 0.62
9.52 , 0.71
9.53 , 0.59
9.540000000000001 , 0.4
9.55 , 0.23
9.56 , 0.16
9.57 , 0.13
9.58 , 0.12
9.59 , 0.051
9.6 , -0.068
9.61 , -0.21
9.620000000000001 , -0.38
9.63 , -0.61
9.64 , -0.92
9.65 , -1.3
9.66 , -1.6
9.67 , -1.7
9.68 , -1.6
